Ref(s),Value,Footprint,MPN,Qty
U1,ARDUINO_GIGA_R1_WIFI,Arduino_Giga_R1_WiFi_Board,,1
J_SW_CH10,LIMIT_SW_CH10,Connector_JST:JST_GH_1x02_P1.25mm_Vertical,,1
J_SW_CH11,LIMIT_SW_CH11,Connector_JST:JST_GH_1x02_P1.25mm_Vertical,,1
J_SW_CH12,LIMIT_SW_CH12,Connector_JST:JST_GH_1x02_P1.25mm_Vertical,,1
J_SW_CH13,LIMIT_SW_CH13,Connector_JST:JST_GH_1x02_P1.25mm_Vertical,,1
J_SW_CH14,LIMIT_SW_CH14,Connector_JST:JST_GH_1x02_P1.25mm_Vertical,,1
J_SW_CH1,LIMIT_SW_CH1,Connector_JST:JST_GH_1x02_P1.25mm_Vertical,,1
J_SW_CH2,LIMIT_SW_CH2,Connector_JST:JST_GH_1x02_P1.25mm_Vertical,,1
J_SW_CH3,LIMIT_SW_CH3,Connector_JST:JST_GH_1x02_P1.25mm_Vertical,,1
J_SW_CH4,LIMIT_SW_CH4,Connector_JST:JST_GH_1x02_P1.25mm_Vertical,,1
J_SW_CH5,LIMIT_SW_CH5,Connector_JST:JST_GH_1x02_P1.25mm_Vertical,,1
J_SW_CH6,LIMIT_SW_CH6,Connector_JST:JST_GH_1x02_P1.25mm_Vertical,,1
J_SW_CH7,LIMIT_SW_CH7,Connector_JST:JST_GH_1x02_P1.25mm_Vertical,,1
J_SW_CH8,LIMIT_SW_CH8,Connector_JST:JST_GH_1x02_P1.25mm_Vertical,,1
J_SW_CH9,LIMIT_SW_CH9,Connector_JST:JST_GH_1x02_P1.25mm_Vertical,,1
J2,MAX3232_MODULE,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,,1
J_MOTOR_CH10,MOTOR_TERM_CH10,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.54mm_Vertical,,1
J_MOTOR_CH11,MOTOR_TERM_CH11,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.54mm_Vertical,,1
J_MOTOR_CH12,MOTOR_TERM_CH12,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.54mm_Vertical,,1
J_MOTOR_CH13,MOTOR_TERM_CH13,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.54mm_Vertical,,1
J_MOTOR_CH14,MOTOR_TERM_CH14,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.54mm_Vertical,,1
J_MOTOR_CH1,MOTOR_TERM_CH1,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.54mm_Vertical,,1
J_MOTOR_CH2,MOTOR_TERM_CH2,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.54mm_Vertical,,1
J_MOTOR_CH3,MOTOR_TERM_CH3,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.54mm_Vertical,,1
J_MOTOR_CH4,MOTOR_TERM_CH4,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.54mm_Vertical,,1
J_MOTOR_CH5,MOTOR_TERM_CH5,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.54mm_Vertical,,1
J_MOTOR_CH6,MOTOR_TERM_CH6,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.54mm_Vertical,,1
J_MOTOR_CH7,MOTOR_TERM_CH7,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.54mm_Vertical,,1
J_MOTOR_CH8,MOTOR_TERM_CH8,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.54mm_Vertical,,1
J_MOTOR_CH9,MOTOR_TERM_CH9,Connector_JST:JST_XH_B4B-XH-A_1x04_P2.54mm_Vertical,,1
J14,TMC2209_CH10,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,,1
J15,TMC2209_CH11,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,,1
J16,TMC2209_CH12,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,,1
J17,TMC2209_CH13,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,,1
J18,TMC2209_CH14,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,,1
J5,TMC2209_CH1,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,,1
J6,TMC2209_CH2,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,,1
J7,TMC2209_CH3,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,,1
J8,TMC2209_CH4,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,,1
J9,TMC2209_CH5,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,,1
J10,TMC2209_CH6,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,,1
J11,TMC2209_CH7,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,,1
J12,TMC2209_CH8,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,,1
J13,TMC2209_CH9,Connector_PinHeader_2.54mm:PinHeader_2x08_P2.54mm_Vertical,,1
