Pump,Rep,Target (g),Actual (g),Error (g)
1,1,10.0,10.000,0.000
1,2,10.0,10.050,0.050
1,3,10.0,10.010,0.010
1,4,10.0,10.050,0.050
1,5,10.0,9.990,-0.010
2,1,10.0,10.020,0.020
2,2,10.0,10.030,0.030
2,3,10.0,10.000,0.000
2,4,10.0,10.010,0.010
2,5,10.0,10.000,0.000
3,1,10.0,10.030,0.030
3,2,10.0,9.990,-0.010
3,3,10.0,10.020,0.020
3,4,10.0,10.050,0.050
3,5,10.0,9.990,-0.010
4,1,10.0,10.010,0.010
4,2,10.0,10.010,0.010
4,3,10.0,10.010,0.010
4,4,10.0,10.030,0.030
4,5,10.0,9.970,-0.030
5,1,10.0,10.010,0.010
5,2,10.0,10.020,0.020
5,3,10.0,10.060,0.060
5,4,10.0,9.980,-0.020
5,5,10.0,10.030,0.030
6,1,10.0,9.990,-0.010
6,2,10.0,10.020,0.020
6,3,10.0,10.000,0.000
6,4,10.0,10.030,0.030
6,5,10.0,10.010,0.010
7,1,10.0,9.990,-0.010
7,2,10.0,10.020,0.020
7,3,10.0,10.010,0.010
7,4,10.0,10.000,0.000
7,5,10.0,10.010,0.010
